#format table ## [Custom WaveView] saved 15:31:06 Mon Apr 29 2024
XVAL ,v(/A) ,v(/B) ,v(/C) ,v(/D) ,v(/out) 
 2.667E-08 , 1.800E+00 ,-1.947E-05 , 1.800E+00 , 4.620E-06 , 1.303E+00 
 2.691E-08 , 1.800E+00 ,-2.167E-05 , 1.800E+00 ,-9.749E-06 , 1.474E+00 
 2.714E-08 , 1.800E+00 ,-1.973E-05 , 1.800E+00 ,-1.353E-05 , 1.595E+00 
 2.745E-08 , 1.800E+00 ,-1.526E-05 , 1.800E+00 ,-8.883E-06 , 1.693E+00 
 2.786E-08 , 1.800E+00 ,-1.151E-05 , 1.800E+00 ,-4.915E-06 , 1.759E+00 
 2.824E-08 , 1.800E+00 ,-9.751E-06 , 1.800E+00 ,-3.986E-06 , 1.784E+00 
 2.864E-08 , 1.800E+00 ,-7.872E-06 , 1.800E+00 ,-2.993E-06 , 1.794E+00 
 2.913E-08 , 1.800E+00 ,-6.836E-06 , 1.800E+00 ,-2.750E-06 , 1.798E+00 
 2.978E-08 , 1.800E+00 ,-5.471E-06 , 1.800E+00 ,-2.431E-06 , 1.799E+00 
 3.020E-08 , 1.800E+00 ,-4.982E-06 , 1.800E+00 ,-2.225E-06 , 1.799E+00 
 3.021E-08 , 1.738E+00 , 6.376E-02 , 1.800E+00 , 1.780E-06 , 1.799E+00 
 3.021E-08 , 1.656E+00 , 1.467E-01 , 1.800E+00 , 2.820E-06 , 1.799E+00 
 3.022E-08 , 1.556E+00 , 2.477E-01 , 1.800E+00 , 3.368E-07 , 1.799E+00 
 3.023E-08 , 1.400E+00 , 4.050E-01 , 1.800E+00 ,-3.411E-06 , 1.799E+00 
 3.023E-08 , 1.248E+00 , 5.580E-01 , 1.800E+00 ,-4.466E-06 , 1.799E+00 
 3.024E-08 , 1.060E+00 , 7.506E-01 , 1.800E+00 ,-3.134E-06 , 1.800E+00 
 3.025E-08 , 9.082E-01 , 9.081E-01 , 1.800E+00 ,-2.053E-06 , 1.800E+00 
 3.026E-08 , 7.551E-01 , 1.067E+00 , 1.800E+00 ,-9.720E-07 , 1.800E+00 
 3.027E-08 , 5.839E-01 , 1.244E+00 , 1.800E+00 , 2.294E-07 , 1.800E+00 
 3.028E-08 , 4.009E-01 , 1.433E+00 , 1.800E+00 ,-1.144E-06 , 1.800E+00 
 3.029E-08 , 2.474E-01 , 1.588E+00 , 1.800E+00 ,-5.146E-06 , 1.800E+00 
 3.030E-08 , 1.396E-01 , 1.695E+00 , 1.800E+00 ,-7.946E-06 , 1.800E+00 
 3.030E-08 , 7.735E-02 , 1.756E+00 , 1.800E+00 ,-9.555E-06 , 1.800E+00 
 3.030E-08 , 5.010E-02 , 1.779E+00 , 1.800E+00 ,-1.196E-05 , 1.800E+00 
 3.031E-08 , 2.957E-02 , 1.794E+00 , 1.800E+00 ,-1.467E-05 , 1.800E+00 
 3.031E-08 , 1.579E-02 , 1.802E+00 , 1.800E+00 ,-1.446E-05 , 1.800E+00 
 3.032E-08 , 7.634E-03 , 1.803E+00 , 1.800E+00 ,-8.053E-06 , 1.800E+00 
 3.032E-08 , 5.864E-03 , 1.802E+00 , 1.800E+00 ,-2.530E-06 , 1.800E+00 
 3.033E-08 , 4.440E-03 , 1.801E+00 , 1.800E+00 , 9.451E-07 , 1.800E+00 
 3.034E-08 , 2.341E-03 , 1.801E+00 , 1.800E+00 , 1.921E-06 , 1.800E+00 
 3.036E-08 , 9.448E-04 , 1.800E+00 , 1.800E+00 , 9.541E-07 , 1.800E+00 
 3.037E-08 , 3.384E-04 , 1.800E+00 , 1.800E+00 ,-1.392E-07 , 1.800E+00 
 3.040E-08 , 9.687E-05 , 1.800E+00 , 1.800E+00 ,-1.707E-06 , 1.800E+00 
