#format table ## [Custom WaveView] saved 15:29:31 Mon Apr 29 2024
XVAL ,v(/A) ,v(/B) ,v(/C) ,v(/D) ,v(/out) 
 3.105E-08 , 1.800E+00 ,-3.753E-06 , 1.800E+00 ,-1.819E-06 , 1.800E+00 
 3.105E-08 , 1.744E+00 , 6.133E-02 , 1.800E+00 , 1.695E-05 , 1.800E+00 
 3.105E-08 , 1.705E+00 , 1.047E-01 , 1.800E+00 , 3.035E-05 , 1.800E+00 
 3.105E-08 , 1.629E+00 , 1.896E-01 , 1.800E+00 , 5.393E-05 , 1.800E+00 
 3.105E-08 , 1.487E+00 , 3.493E-01 , 1.800E+00 , 9.106E-05 , 1.800E+00 
 3.105E-08 , 1.347E+00 , 5.075E-01 , 1.800E+00 , 1.195E-04 , 1.800E+00 
 3.105E-08 , 1.230E+00 , 6.411E-01 , 1.800E+00 , 1.388E-04 , 1.800E+00 
 3.105E-08 , 1.090E+00 , 8.060E-01 , 1.800E+00 , 1.576E-04 , 1.800E+00 
 3.106E-08 , 9.608E-01 , 9.637E-01 , 1.800E+00 , 1.686E-04 , 1.800E+00 
 3.106E-08 , 8.518E-01 , 1.097E+00 , 1.800E+00 , 1.702E-04 , 1.800E+00 
 3.106E-08 , 7.312E-01 , 1.238E+00 , 1.800E+00 , 1.620E-04 , 1.800E+00 
 3.106E-08 , 6.045E-01 , 1.377E+00 , 1.800E+00 , 1.419E-04 , 1.800E+00 
 3.106E-08 , 4.755E-01 , 1.505E+00 , 1.800E+00 , 1.078E-04 , 1.800E+00 
 3.106E-08 , 3.663E-01 , 1.601E+00 , 1.800E+00 , 6.705E-05 , 1.800E+00 
 3.106E-08 , 2.770E-01 , 1.671E+00 , 1.800E+00 , 2.614E-05 , 1.800E+00 
 3.106E-08 , 2.042E-01 , 1.722E+00 , 1.800E+00 ,-1.070E-05 , 1.800E+00 
 3.106E-08 , 1.460E-01 , 1.758E+00 , 1.800E+00 ,-4.004E-05 , 1.800E+00 
 3.106E-08 , 1.006E-01 , 1.782E+00 , 1.800E+00 ,-5.982E-05 , 1.800E+00 
 3.106E-08 , 6.683E-02 , 1.797E+00 , 1.800E+00 ,-6.894E-05 , 1.800E+00 
 3.106E-08 , 4.366E-02 , 1.805E+00 , 1.800E+00 ,-6.771E-05 , 1.800E+00 
 3.107E-08 , 2.963E-02 , 1.809E+00 , 1.800E+00 ,-5.870E-05 , 1.800E+00 
 3.107E-08 , 2.174E-02 , 1.810E+00 , 1.800E+00 ,-4.533E-05 , 1.800E+00 
 3.107E-08 , 1.757E-02 , 1.810E+00 , 1.800E+00 ,-3.046E-05 , 1.800E+00 
 3.108E-08 , 1.539E-02 , 1.808E+00 , 1.800E+00 ,-1.634E-05 , 1.800E+00 
 3.108E-08 , 1.348E-02 , 1.806E+00 , 1.800E+00 ,-4.765E-06 , 1.800E+00 
 3.109E-08 , 1.044E-02 , 1.804E+00 , 1.800E+00 , 2.075E-06 , 1.800E+00 
 3.110E-08 , 7.616E-03 , 1.803E+00 , 1.800E+00 , 3.559E-06 , 1.800E+00 
 3.111E-08 , 5.200E-03 , 1.802E+00 , 1.800E+00 , 2.749E-06 , 1.800E+00 
 3.112E-08 , 3.201E-03 , 1.801E+00 , 1.800E+00 , 1.748E-06 , 1.800E+00 
 3.113E-08 , 1.737E-03 , 1.801E+00 , 1.800E+00 , 5.170E-07 , 1.800E+00 
 3.114E-08 , 8.124E-04 , 1.800E+00 , 1.800E+00 ,-9.721E-07 , 1.800E+00 
 3.116E-08 , 3.169E-04 , 1.800E+00 , 1.800E+00 ,-1.388E-06 , 1.800E+00 
 3.119E-08 , 9.689E-05 , 1.800E+00 , 1.800E+00 ,-1.906E-06 , 1.800E+00 
 3.122E-08 , 2.827E-05 , 1.800E+00 , 1.800E+00 ,-1.903E-06 , 1.800E+00 
 3.127E-08 , 2.222E-05 , 1.800E+00 , 1.800E+00 ,-1.897E-06 , 1.800E+00 
 3.134E-08 , 1.591E-05 , 1.800E+00 , 1.800E+00 ,-1.889E-06 , 1.800E+00 
 3.146E-08 , 2.509E-06 , 1.800E+00 , 1.800E+00 ,-1.874E-06 , 1.800E+00 
 3.171E-08 ,-1.547E-06 , 1.800E+00 , 1.800E+00 ,-1.845E-06 , 1.800E+00 
 3.220E-08 , 5.637E-07 , 1.800E+00 , 1.800E+00 ,-1.787E-06 , 1.800E+00 
 3.318E-08 , 3.630E-07 , 1.800E+00 , 1.800E+00 ,-1.672E-06 , 1.800E+00 
 3.515E-08 ,-3.843E-08 , 1.800E+00 , 1.800E+00 ,-1.441E-06 , 1.800E+00 
 3.520E-08 ,-4.860E-08 , 1.800E+00 , 1.800E+00 ,-1.435E-06 , 1.800E+00 
 3.521E-08 , 7.826E-02 , 1.801E+00 , 1.800E+00 ,-1.435E-06 , 1.800E+00 
 3.521E-08 , 1.820E-01 , 1.801E+00 , 1.800E+00 ,-1.434E-06 , 1.800E+00 
 3.522E-08 , 3.064E-01 , 1.801E+00 , 1.800E+00 ,-1.433E-06 , 1.800E+00 
 3.523E-08 , 4.816E-01 , 1.801E+00 , 1.800E+00 ,-1.432E-06 , 1.800E+00 
 3.524E-08 , 6.709E-01 , 1.801E+00 , 1.800E+00 ,-1.431E-06 , 1.800E+00 
 3.526E-08 , 9.869E-01 , 1.801E+00 , 1.800E+00 ,-1.429E-06 , 1.800E+00 
 3.528E-08 , 1.377E+00 , 1.801E+00 , 1.800E+00 ,-1.426E-06 , 1.800E+00 
 3.530E-08 , 1.759E+00 , 1.801E+00 , 1.800E+00 ,-1.424E-06 , 1.800E+00 
 3.530E-08 , 1.786E+00 , 1.800E+00 , 1.800E+00 ,-2.744E-06 , 1.800E+00 
 3.531E-08 , 1.795E+00 , 1.800E+00 , 1.800E+00 ,-2.417E-06 , 1.800E+00 
